              Procedure           Image            Address        Calls Instructions       Atomic
 __kmp_invoke_microtask       libomp.so       7f376639c9b0            8          304            0
__kmp_clear_x87_fpu_status_word       libomp.so       7f376639c9a0            7           14            0
__kmp_store_x87_fpu_control_word       libomp.so       7f376639c990           10           30            0
__kmp_load_x87_fpu_control_word       libomp.so       7f376639c980            7           14            0
        __kmp_x86_cpuid       libomp.so       7f376639c960           36          540            0
__kmp_cleanup_indirect_user_locks       libomp.so       7f3766395670            1          105            0
__kmp_init_dynamic_user_locks       libomp.so       7f3766395370            1          101            0
__kmp_init_queuing_lock       libomp.so       7f3766394630           14          126            0
 __kmp_init_ticket_lock       libomp.so       7f3766394150           20          140            0
__kmp_release_ticket_lock       libomp.so       7f3766394100           13          286            0
__kmp_acquire_ticket_lock       libomp.so       7f3766394070           13          184            1
   __kmp_validate_locks       libomp.so       7f3766393980            1            1            0
_ZL33__kmp_affinity_cmp_Address_labelsPKvS0_       libomp.so       7f376638b0f0           12          264            0
_ZL34__kmp_affinity_create_x2apicid_mapPP11AddrUnsPairP11kmp_i18n_id       libomp.so       7f37663864b0            1         4977            0
__kmp_affinity_set_init_mask       libomp.so       7f3766385120            8         1976            0
__kmp_affinity_uninitialize       libomp.so       7f3766385070            2           50            0
_ZL29__kmp_aux_affinity_initializev       libomp.so       7f3766382150            1         3169            0
__kmp_affinity_initialize       libomp.so       7f37663820f0            1           14            0
__kmp_affinity_get_fullMask       libomp.so       7f3766380d20            1            2            0
__kmp_cleanup_hierarchy       libomp.so       7f3766380a00            1            3            0
       __kmp_release_64       libomp.so       7f37663808e0            7          147            1
_ZN11kmp_flag_644waitEP8kmp_infoiPv       libomp.so       7f376637f930           21      2571991            2
_Z20__kmp_setup_icv_copyP8kmp_teamiP20kmp_internal_controlP5ident       libomp.so       7f376637f740            1            1            0
_Z18__kmp_fork_barrierii       libomp.so       7f376637f3b0           15          869            0
_Z18__kmp_join_barrieri       libomp.so       7f376637ee90            8          539            0
_ZL27__kmp_hyper_barrier_release12barrier_typeP8kmp_infoiiiPv       libomp.so       7f376637db40           15         1632            1
_ZL26__kmp_hyper_barrier_gather12barrier_typeP8kmp_infoiiPFvPvS2_ES2_       libomp.so       7f376637c760            8         1079            1
     omp_get_thread_num       libomp.so       7f3766379fe0            8          144            0
    omp_get_num_threads       libomp.so       7f3766379f90            8           16            0
  __kmp_itt_init_ittlib       libomp.so       7f3766379400            1         2006            1
  __kmp_itt_fini_ittlib       libomp.so       7f3766379340            1          970            0
_ZL29__kmp_itt_thr_ignore_init_3_0v       libomp.so       7f3766379320            1            1            0
_ZL31__kmp_itt_thr_name_set_init_3_0PKci       libomp.so       7f3766379310            8           40            0
_ZL32__kmp_itt_thread_ignore_init_3_0v       libomp.so       7f3766379200            1           49            0
_ZL34__kmp_itt_thread_set_name_init_3_0PKc       libomp.so       7f37663790d0            8          600            0
_ZL33__kmp_itt_fsync_acquired_init_3_0Pv       libomp.so       7f37663768d0            1           11            0
_ZL31__kmp_suspend_initialize_threadP8kmp_info       libomp.so       7f3766373570            6          111            0
  __kmp_runtime_destroy       libomp.so       7f3766372c20            1           34            0
__kmp_runtime_initialize       libomp.so       7f37663727d0            1           76            0
